The following lines contain 2177 text messages, one per line. Each text message can be classified as spam or ham (i.e., not spam).

You will be asked to answer questions about the aggregate label statistics across all 2177 examples in this dataset. Do not try to guess, estimate, or approximate the result. Calculate the exact answer given these datapoints.

Date: Apr 01, 2025 || User: 23965 || Instance: Compliments to you. Was away from the system. How your side. 
Date: Mar 03, 2024 || User: 34851 || Instance: Reply to win £100 weekly! Where will the 2006 FIFA World Cup be held? Send STOP to 87239 to end service 
Date: Feb 04, 2024 || User: 72071 || Instance: This msg is for your mobile content order It has been resent as previous attempt failed due to network error Queries to customersqueries@netvision.uk.com 
Date: Oct 20, 2024 || User: 40178 || Instance: BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu 
Date: Jun 04, 2023 || User: 43378 || Instance: Show ur colours! Euro 2004 2-4-1 Offer! Get an England Flag & 3Lions tone on ur phone! Click on the following service message for info! 
Date: Dec 31, 2023 || User: 96507 || Instance: Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur Mob? Join the UK's largest Dogging Network by txting MOAN to 69888Nyt. ec2a. 31p.msg@150p 
Date: Apr 19, 2022 || User: 33621 || Instance: Reading gud habit.. Nan bari hudgi yorge pataistha ertini kano:-) 
Date: Mar 19, 2023 || User: 75595 || Instance: Got what it takes 2 take part in the WRC Rally in Oz? U can with Lucozade Energy! Text RALLY LE to 61200 (25p), see packs or lucozade.co.uk/wrc & itcould be u! 
Date: Oct 19, 2022 || User: 93029 || Instance: Urgent! call 09066612661 from landline. Your complementary 4* Tenerife Holiday or £10,000 cash await collection SAE T&Cs PO Box 3 WA14 2PX 150ppm 18+ Sender: Hol Offer 
Date: May 09, 2025 || User: 94904 || Instance: Do u noe how 2 send files between 2 computers? 
Date: Mar 11, 2025 || User: 80388 || Instance: Xmas & New Years Eve tickets are now on sale from the club, during the day from 10am till 8pm, and on Thurs, Fri & Sat night this week. They're selling fast! 
Date: Jun 06, 2024 || User: 26918 || Instance: UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise of£2000 CASH 18+only. To opt out txt X to 07786200117 
Date: Apr 19, 2022 || User: 88656 || Instance: I'm back &amp; we're packing the car now, I'll let you know if there's room 
Date: Jan 18, 2023 || User: 15884 || Instance: You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810 
Date: May 25, 2023 || User: 28859 || Instance: Hello darling how are you today? I would love to have a chat, why dont you tell me what you look like and what you are in to sexy? 
Date: Dec 02, 2023 || User: 33251 || Instance: U horrible gal... U knew dat i was going out wif him yest n u still come n ask me... 
Date: Jul 10, 2023 || User: 42331 || Instance: * Will have two more cartons off u and is very pleased with shelves 
Date: Apr 23, 2023 || User: 74145 || Instance: 1 I don't have her number and 2 its gonna be a massive pain in the ass and i'd rather not get involved if that's possible 
Date: Feb 06, 2025 || User: 64710 || Instance: Email AlertFrom: Jeri StewartSize: 2KBSubject: Low-cost prescripiton drvgsTo listen to email call 123 
Date: Nov 06, 2023 || User: 62250 || Instance: Mila, age23, blonde, new in UK. I look sex with UK guys. if u like fun with me. Text MTALK to 69866.18 . 30pp/txt 1st 5free. £1.50 increments. Help08718728876 
Date: Nov 03, 2024 || User: 11111 || Instance: Many times we lose our best ones bcoz we are  
Date: Jun 01, 2024 || User: 93456 || Instance: Get the official ENGLAND poly ringtone or colour flag on yer mobile for tonights game! Text TONE or FLAG to 84199. Optout txt ENG STOP Box39822 W111WX £1.50 
Date: Feb 12, 2024 || User: 75595 || Instance: HI DARLIN HOW WAS WORK DID U GET INTO TROUBLE? IJUST TALKED TO YOUR MUM ALL MORNING! I HAD A REALLY GOOD TIME LAST NIGHT IM GOIN OUT SOON BUT CALL ME IF U CAN 
Date: Oct 31, 2022 || User: 18359 || Instance: Do whatever you want. You know what the rules are. We had a talk earlier this week about what had to start happening, you showing responsibility. Yet, every week it's can i bend the rule this way? What about that way? Do whatever. I'm tired of having thia same argument with you every week. And a  &lt;#&gt;  movie DOESNT inlude the previews. You're still getting in after 1. 
Date: Nov 05, 2024 || User: 44633 || Instance: Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx 
Date: Apr 28, 2025 || User: 97042 || Instance: Gain the rights of a wife.dont demand it.i am trying as husband too.Lets see 
Date: Jun 01, 2023 || User: 28965 || Instance: I am hot n horny and willing I live local to you - text a reply to hear strt back from me 150p per msg Netcollex LtdHelpDesk: 02085076972 reply Stop to end 
Date: May 10, 2023 || User: 44633 || Instance: I want to show you the world, princess :) how about europe? 
Date: Aug 27, 2023 || User: 64820 || Instance: Good morning princess! How are you? 
Date: Jan 09, 2023 || User: 14228 || Instance: Free msg. Sorry, a service you ordered from 81303 could not be delivered as you do not have sufficient credit. Please top up to receive the service. 
Date: Jun 23, 2024 || User: 75930 || Instance: This message is brought to you by GMW Ltd. and is not connected to the 
Date: Jun 03, 2025 || User: 51941 || Instance: For ur chance to win a £250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk 
Date: Dec 14, 2024 || User: 23974 || Instance: Crazy ar he's married. Ü like gd looking guys not me. My frens like say he's korean leona's fave but i dun thk he is. Aft some thinking mayb most prob i'll go. 
Date: Aug 16, 2022 || User: 70806 || Instance: Dear Voucher Holder, To claim this weeks offer, at your PC please go to http://www.wtlp.co.uk/text. Ts&Cs apply. 
Date: May 31, 2025 || User: 46032 || Instance: What is your record for one night? :) 
Date: Aug 06, 2022 || User: 69775 || Instance: With my sis lor... We juz watched italian job. 
Date: Sep 25, 2022 || User: 79821 || Instance: Beautiful tomorrow never comes.. When it comes, it's already TODAY.. In the hunt of beautiful tomorrow don't waste your wonderful TODAY.. GOODMORNING:) 
Date: May 04, 2025 || User: 60698 || Instance: Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1 
Date: Feb 16, 2022 || User: 36952 || Instance: Dear Voucher Holder, To claim this weeks offer, at you PC please go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply. To stop texts, txt STOP to 80062 
Date: Oct 13, 2023 || User: 33798 || Instance: And of course you should make a stink! 
Date: Jun 10, 2022 || User: 59719 || Instance: Today's Offer! Claim ur £150 worth of discount vouchers! Text YES to 85023 now! SavaMob, member offers mobile! T Cs 08717898035. £3.00 Sub. 16 . Unsub reply X 
Date: Dec 22, 2023 || User: 86576 || Instance: FreeMsg: Claim ur 250 SMS messages-Text OK to 84025 now!Use web2mobile 2 ur mates etc. Join Txt250.com for 1.50p/wk. T&C BOX139, LA32WU. 16 . Remove txtX or stop 
Date: Aug 24, 2023 || User: 99685 || Instance: Double Mins & Double Txt & 1/2 price Linerental on Latest Orange Bluetooth mobiles. Call MobileUpd8 for the very latest offers. 08000839402 or call2optout/LF56 
Date: May 24, 2023 || User: 21379 || Instance: Urgent! Please call 09061743811 from landline. Your ABTA complimentary 4* Tenerife Holiday or £5000 cash await collection SAE T&Cs Box 326 CW25WX 150ppm 
Date: Oct 13, 2024 || User: 76643 || Instance: Aight will do, thanks again for comin out 
Date: Dec 11, 2023 || User: 71925 || Instance: Congratulations ur awarded either £500 of CD gift vouchers & Free entry 2 our £100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com 1 win150ppmx3age16 
Date: Nov 10, 2024 || User: 25640 || Instance: If you don't, your prize will go to another customer. T&C at www.t-c.biz 18+ 150p/min Polo Ltd Suite 373 London W1J 6HL Please call back if busy 
Date: Apr 15, 2022 || User: 55235 || Instance: Ok good then i later come find ü... C lucky i told ü to go earlier... Later pple take finish ü no more again... 
Date: Feb 23, 2023 || User: 23974 || Instance: Watching ajith film ah? 
Date: Mar 07, 2025 || User: 52634 || Instance: Wait  &lt;#&gt;  min.. 
Date: Jun 09, 2024 || User: 84115 || Instance: Kate jackson rec center before 7ish, right? 
Date: Oct 08, 2024 || User: 87186 || Instance: FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv 
Date: Jun 13, 2025 || User: 73737 || Instance: Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058091854 NOW all will be revealed. PO BOX385 M6 6WU 
Date: Jan 29, 2023 || User: 13289 || Instance: I called but no one pick up e phone. I ask both of them already they said ok. 
Date: May 21, 2023 || User: 29260 || Instance: Carlos is taking his sweet time as usual so let me know when you and patty are done/want to smoke and I'll tell him to haul ass 
Date: Apr 13, 2022 || User: 28811 || Instance: Adult 18 Content Your video will be with you shortly 
Date: Feb 25, 2025 || User: 16938 || Instance: Join the UK's horniest Dogging service and u can have sex 2nite!. Just sign up and follow the instructions. Txt ENTRY to 69888 now! Nyt.EC2A.3LP.msg@150p 
Date: Mar 28, 2023 || User: 80388 || Instance: PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code: 49557 Expires 26/11/04 
Date: Jan 18, 2024 || User: 89992 || Instance: New Tones This week include: 1)McFly-All Ab.., 2) Sara Jorge-Shock.. 3) Will Smith-Switch.. To order follow instructions on next message 
Date: Dec 21, 2024 || User: 71398 || Instance: Hi, can i please get a  &lt;#&gt;  dollar loan from you. I.ll pay you back by mid february. Pls. 
Date: Dec 17, 2022 || User: 48472 || Instance: Xmas & New Years Eve tickets are now on sale from the club, during the day from 10am till 8pm, and on Thurs, Fri & Sat night this week. They're selling fast! 
Date: Feb 15, 2024 || User: 81413 || Instance: Smith waste da.i wanna gayle. 
Date: Dec 18, 2023 || User: 23309 || Instance: okmail: Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm 
Date: Aug 13, 2022 || User: 67277 || Instance: K k:) sms chat with me. 
Date: Oct 07, 2023 || User: 10375 || Instance: URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701851. Claim code K61. Valid 12hours only 
Date: Jan 13, 2023 || User: 72029 || Instance: You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810 
Date: Oct 17, 2023 || User: 59165 || Instance: Someone has conacted our dating service and entered your phone because they fancy you!To find out who it is call from landline 09111030116. PoBox12n146tf15 
Date: Dec 14, 2024 || User: 71102 || Instance: Yes we are chatting too. 
Date: Mar 09, 2022 || User: 47240 || Instance: WELL DONE! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TCs, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins 
Date: May 18, 2023 || User: 69775 || Instance: Filthy stories and GIRLS waiting for your 
Date: Dec 26, 2024 || User: 44284 || Instance: Bloomberg -Message center +447797706009 Why wait? Apply for your future http://careers. bloomberg.com 
Date: May 31, 2022 || User: 88300 || Instance: Must come later.. I normally bathe him in da afternoon mah.. 
Date: Jun 19, 2025 || User: 43658 || Instance: Txt: CALL to No: 86888 & claim your reward of 3 hours talk time to use from your phone now! Subscribe6GBP/mnth inc 3hrs 16 stop?txtStop www.gamb.tv 
Date: Mar 03, 2024 || User: 23965 || Instance: Fair enough, anything going on? 
Date: Dec 01, 2024 || User: 47462 || Instance: Ü thk of wat to eat tonight. 
Date: Dec 01, 2022 || User: 87021 || Instance: Yunny i'm walking in citylink now ü faster come down... Me very hungry... 
Date: Mar 18, 2023 || User: 25492 || Instance: UpgrdCentre Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9153. Offer ends 26th July. T&C's apply. Opt-out available 
Date: Mar 28, 2023 || User: 78815 || Instance: Please call Amanda with regard to renewing or upgrading your current T-Mobile handset free of charge. Offer ends today. Tel 0845 021 3680 subject to T's and C's 
Date: May 20, 2024 || User: 23398 || Instance: This weeks SavaMob member offers are now accessible. Just call 08709501522 for details! SavaMob, POBOX 139, LA3 2WU. Only £1.50/week. SavaMob - offers mobile! 
Date: Jun 16, 2022 || User: 74842 || Instance: hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx 
Date: Aug 15, 2023 || User: 10375 || Instance: FREE MSG:We billed your mobile number by mistake from shortcode 83332.Please call 08081263000 to have charges refunded.This call will be free from a BT landline 
Date: Mar 14, 2024 || User: 33621 || Instance: No. Its not specialisation. Can work but its slave labor. Will look for it this month sha cos no shakara 4 beggar. 
Date: Jun 09, 2024 || User: 62296 || Instance: Mm i am on the way to railway 
Date: Dec 13, 2023 || User: 83559 || Instance: LOOK AT AMY URE A BEAUTIFUL, INTELLIGENT WOMAN AND I LIKE U A LOT. I KNOW U DONT LIKE ME LIKE THAT SO DONT WORRY. 
Date: Sep 11, 2023 || User: 51643 || Instance: Not to worry. I'm sure you'll get it. 
Date: Nov 03, 2022 || User: 75893 || Instance: Which is weird because I know I had it at one point 
Date: Mar 25, 2024 || User: 98087 || Instance: Good afternoon sexy buns! How goes the job search ? I wake and you are my first thought as always, my love. I wish your fine and happy and know I adore you! 
Date: May 23, 2022 || User: 48731 || Instance: "AH POOR BABY!HOPE URFEELING BETTERSN LUV! PROBTHAT OVERDOSE OF WORK HEY GO CAREFUL SPK 2 U SN LOTS OF LOVEJEN XXX." 
Date: Mar 05, 2022 || User: 54398 || Instance: FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 87077 Get txting and tell ur mates. zed POBox 36504 W45WQ norm150p/tone 16+ 
Date: Jul 01, 2024 || User: 47462 || Instance: Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!  
Date: Mar 12, 2023 || User: 35922 || Instance: 500 free text msgs. Just text ok to 80488 and we'll credit your account 
Date: Jan 03, 2023 || User: 69416 || Instance: Well there's a pattern emerging of my friends telling me to drive up and come smoke with them and then telling me that I'm a weed fiend/make them smoke too much/impede their doing other things so you see how I'm hesitant 
Date: Dec 16, 2023 || User: 80388 || Instance: FREE entry into our £250 weekly comp just send the word WIN to 80086 NOW. 18 T&C www.txttowin.co.uk 
Date: Jan 25, 2024 || User: 55993 || Instance: Got meh... When? 
Date: Jun 03, 2024 || User: 40084 || Instance: Yeah, probably here for a while 
Date: Jun 16, 2024 || User: 51846 || Instance: Well, I was about to give up cos they all said no they didn‘t do one nighters. I persevered and found one but it is very cheap so i apologise in advance. It is just somewhere to sleep isnt it? 
Date: Oct 15, 2024 || User: 32870 || Instance: Just got to  &lt;#&gt; 
Date: May 11, 2025 || User: 14292 || Instance: Frnd s not juz a word.....not merely a relationship.....its a silent promise which says ... " I will be with YOU " Wherevr.. Whenevr.. Forevr... Gudnyt dear.. 
Date: Jul 31, 2024 || User: 37617 || Instance: 100 dating service cal;l 09064012103 box334sk38ch 
Date: Jun 28, 2023 || User: 23309 || Instance: Oh k...i'm watching here:) 
Date: Aug 04, 2024 || User: 81627 || Instance: I'm coming home 4 dinner. 
Date: Feb 24, 2025 || User: 10093 || Instance: SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info 
Date: May 07, 2024 || User: 36145 || Instance: Pathaya enketa maraikara pa' 
Date: Apr 30, 2025 || User: 74842 || Instance: Hello. We need some posh birds and chaps to user trial prods for champneys. Can i put you down? I need your address and dob asap. Ta r 
Date: Aug 01, 2022 || User: 37493 || Instance: Are you unique enough? Find out from 30th August. www.areyouunique.co.uk 
Date: Feb 03, 2024 || User: 70806 || Instance: WIN: We have a winner! Mr. T. Foley won an iPod! More exciting prizes soon, so keep an eye on ur mobile or visit www.win-82050.co.uk 
Date: Dec 07, 2024 || User: 81170 || Instance: Have you not finished work yet or something? 
Date: Feb 10, 2025 || User: 52877 || Instance: I wont get concentration dear you know you are my mind and everything :-) 
Date: Mar 22, 2024 || User: 82012 || Instance: You are now unsubscribed all services. Get tons of sexy babes or hunks straight to your phone! go to http://gotbabes.co.uk. No subscriptions. 
Date: Apr 24, 2023 || User: 85946 || Instance: Hello from Orange. For 1 month's free access to games, news and sport, plus 10 free texts and 20 photo messages, reply YES. Terms apply: www.orange.co.uk/ow 
Date: Jul 08, 2022 || User: 48472 || Instance: Hello! Just got here, st andrews-boy its a long way! Its cold. I will keep you posted 
Date: Jul 09, 2022 || User: 72771 || Instance: "HEY HEY WERETHE MONKEESPEOPLE SAY WE MONKEYAROUND! HOWDY GORGEOUS, HOWU DOIN? FOUNDURSELF A JOBYET SAUSAGE?LOVE JEN XXX" 
Date: Feb 22, 2022 || User: 84410 || Instance: Can ü all decide faster cos my sis going home liao.. 
Date: Jan 16, 2023 || User: 47041 || Instance: tddnewsletter@emc1.co.uk (More games from TheDailyDraw) Dear Helen, Dozens of Free Games - with great prizesWith.. 
Date: Jan 14, 2025 || User: 84831 || Instance: wamma get laid?want real doggin locations sent direct to your mobile? join the UKs largest dogging network. txt dogs to 69696 now!nyt. ec2a. 3lp £1.50/msg. 
Date: Apr 25, 2024 || User: 34013 || Instance: Me, i dont know again oh 
Date: Mar 08, 2025 || User: 92013 || Instance: Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay. Gud mrng 
Date: Nov 07, 2024 || User: 44123 || Instance: 449050000301 You have won a £2,000 price! To claim, call 09050000301. 
Date: Feb 16, 2025 || User: 63007 || Instance: Nice.nice.how is it working? 
Date: Apr 04, 2024 || User: 44878 || Instance: When did dad get back. 
Date: Mar 28, 2022 || User: 63615 || Instance: Well I might not come then... 
Date: Aug 07, 2022 || User: 25315 || Instance: He also knows about lunch menu only da. . I know 
Date: Jan 20, 2025 || User: 68549 || Instance: Want a new Video Phone? 750 anytime any network mins? Half price line rental free text for 3 months? Reply or call 08000930705 for free delivery 
Date: May 29, 2024 || User: 45910 || Instance: As one of our registered subscribers u can enter the draw 4 a 100 G.B. gift voucher by replying with ENTER. To unsubscribe text STOP 
Date: May 19, 2025 || User: 77564 || Instance: I hope you know I'm still mad at you. 
Date: Oct 20, 2022 || User: 88656 || Instance: Good sleep is about rhythm. The person has to establish a rhythm that the body will learn and use. If you want to know more :-) 
Date: Jul 10, 2024 || User: 99637 || Instance: Hey. What happened? U switch off ur cell d whole day. This isnt good. Now if u do care, give me a call tomorrow. 
Date: Mar 10, 2023 || User: 84831 || Instance: Serious? What like proper tongued her 
Date: Apr 01, 2022 || User: 38602 || Instance: This pen thing is beyond a joke. Wont a Biro do? Don't do a masters as can't do this ever again!  
Date: May 07, 2023 || User: 21890 || Instance: Eerie Nokia tones 4u, rply TONE TITLE to 8007 eg TONE DRACULA to 8007 Titles: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT www.getzed.co.uk POBox36504W45WQ 150p 
Date: Feb 17, 2025 || User: 22213 || Instance: Hey what are you doing. Y no reply pa.. 
Date: Oct 15, 2022 || User: 87021 || Instance: Can you do a mag meeting this avo at some point? 
Date: Nov 23, 2024 || User: 38687 || Instance: Latest Nokia Mobile or iPOD MP3 Player +£400 proze GUARANTEED! Reply with: WIN to 83355 now! Norcorp Ltd.£1,50/Mtmsgrcvd18+ 
Date: Jun 07, 2024 || User: 78815 || Instance: Kothi print out marandratha. 
Date: Feb 19, 2022 || User: 69984 || Instance: Haf u found him? I feel so stupid da v cam was working. 
Date: Feb 18, 2024 || User: 87718 || Instance: Ever thought about living a good life with a perfect partner? Just txt back NAME and AGE to join the mobile community. (100p/SMS) 
Date: Mar 27, 2025 || User: 96507 || Instance: Lol grr my mom is taking forever with my prescription. Pharmacy is like 2 minutes away. Ugh. 
Date: Mar 29, 2022 || User: 92389 || Instance: Its sunny in california. The weather's just cool 
Date: Dec 07, 2022 || User: 28859 || Instance: I'm watching lotr w my sis dis aft. So u wan 2 meet me 4 dinner at nite a not? 
Date: Aug 13, 2022 || User: 81900 || Instance: Hi Chachi tried calling u now unable to reach u .. Pl give me a missed cal once u c tiz msg  Kanagu 
Date: Jan 07, 2024 || User: 73737 || Instance: Good Morning my Dear Shijutta........... Have a great &amp; successful day. 
Date: Jul 02, 2022 || User: 47803 || Instance: Welcome! Please reply with your AGE and GENDER to begin. e.g 24M 
Date: Dec 12, 2023 || User: 52168 || Instance: Gr8 Poly tones 4 ALL mobs direct 2u rply with POLY TITLE to 8007 eg POLY BREATHE1 Titles: CRAZYIN, SLEEPINGWITH, FINEST, YMCA :getzed.co.uk POBox365O4W45WQ 300p 
Date: Mar 31, 2025 || User: 74608 || Instance: tddnewsletter@emc1.co.uk (More games from TheDailyDraw) Dear Helen, Dozens of Free Games - with great prizesWith.. 
Date: Jun 06, 2025 || User: 23844 || Instance: <Forwarded from 448712404000>Please CALL 08712404000 immediately as there is an urgent message waiting for you. 
Date: Nov 28, 2022 || User: 33202 || Instance: Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705 
Date: Jul 19, 2022 || User: 96507 || Instance: HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870..k 
Date: Oct 02, 2023 || User: 69816 || Instance: Nice. Wait...should you be texting right now? I'm not gonna pay your ticket, ya know! 
Date: Mar 31, 2025 || User: 85577 || Instance: Congrats 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid ur mates, play java games, Dload polypH music, noline rentl. bx420. ip4. 5we. 150p 
Date: Dec 07, 2024 || User: 22908 || Instance: Not..tel software name.. 
Date: Nov 05, 2024 || User: 65041 || Instance: Sorry I missed your call let's talk when you have the time. I'm on 07090201529 
Date: Nov 11, 2024 || User: 38687 || Instance: Okay but i thought you were the expert 
Date: Aug 27, 2023 || User: 38602 || Instance: No. To be nosy I guess. Idk am I over reacting if I'm freaked? 
Date: Nov 15, 2022 || User: 82026 || Instance: I wasn't well babe, i have swollen glands at my throat ... What did you end up doing ? 
Date: Jun 26, 2022 || User: 66062 || Instance: If You mean the website. Yes. 
Date: Apr 01, 2022 || User: 55497 || Instance: Hey. You got any mail? 
Date: Feb 05, 2023 || User: 74842 || Instance: This is hoping you enjoyed your game yesterday. Sorry i've not been in touch but pls know that you are fondly bein thot off. Have a great week. Abiola 
Date: May 31, 2023 || User: 38602 || Instance: SMS AUCTION You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+ 
Date: Jul 01, 2022 || User: 33026 || Instance: Yeah there's barely enough room for the two of us, x has too many fucking shoes. Sorry man, see you later 
Date: Sep 16, 2022 || User: 81523 || Instance: Then ur physics get a-? 
Date: Apr 19, 2024 || User: 40178 || Instance: All was well until slightly disastrous class this pm with my fav darlings! Hope day off ok. Coffee wld be good as can't stay late tomorrow. Same time + place as always? 
Date: Jun 14, 2022 || User: 38574 || Instance: Dont show yourself. How far. Put new pictures up on facebook. 
Date: May 02, 2025 || User: 74145 || Instance: Great. So should i send you my account number. 
Date: Apr 14, 2023 || User: 33621 || Instance: URGENT!: Your Mobile No. was awarded a £2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9755 BOX95QU 
Date: Mar 28, 2024 || User: 65105 || Instance: The basket's gettin full so I might be by tonight 
Date: Nov 24, 2022 || User: 97608 || Instance: Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur Mob? Join the UK's largest Dogging Network by txting MOAN to 69888Nyt. ec2a. 31p.msg@150p 
Date: Oct 27, 2024 || User: 86576 || Instance: Sir, I am waiting for your mail. 
Date: Sep 01, 2022 || User: 92389 || Instance: Sorry da thangam, very very sorry i am held up with prasad. 
Date: Nov 16, 2022 || User: 48675 || Instance: So anyways, you can just go to your gym or whatever, my love *smiles* I hope your ok and having a good day babe ... I miss you so much already 
Date: Nov 25, 2024 || User: 75922 || Instance: No * am working on the ringing u thing but have whole houseful of screaming brats so * am pulling my hair out! Loving u 
Date: Nov 21, 2022 || User: 36359 || Instance: network operator. The service is free. For T & C's visit 80488.biz 
Date: Jul 18, 2023 || User: 73080 || Instance: See the forwarding message for proof 
Date: Feb 29, 2024 || User: 34013 || Instance: "GRAN ONLYFOUND OUT AFEW DAYS AGO.CUSOON HONI" 
